25,35
31,229
34,117
34,78
44,35
51,229
53,78
53,117
64,35
73,117
73,79
91,35
93,79
92,117
94,140
95,230
111,35
114,140
115,230
130,36
152,178
158,35
162,179
161,229
171,229
172,140
172,179
177,82
178,35
181,229
187,82
195,130
195,140
195,150
197,35
217,35
225,131
224,140
225,150
231,229
237,235
244,35
242,229
249,168
250,75
250,94
249,129
264,35
265,158
265,178
269,100
269,141
268,230
268,245
280,187
283,35
285,115
285,154
286,98
297,164
300,71
300,108
300,127
309,230
309,245
310,35
316,164
320,187
320,213
321,118
321,148
326,98
330,35
330,230
331,118
331,148
338,93
339,71
340,229
341,118
341,148
351,229
352,72
351,118
351,147
355,35
357,93
360,212
373,160
374,36
373,142
378,198
378,236
390,71
390,198
391,237
394,36
393,142
393,159
397,98
397,117
412,154
412,173
413,215
414,234
