11,11
17,63
44,35
16,92
17,132
16,155
16,195
17,207
17,210
17,236
19,92
19,155
19,195
20,12
23,10
23,13
22,65
25,35
25,23
43,228
33,97
34,78
34,116
33,228
33,241
40,97
42,254
44,34
44,23
44,97
44,252
50,226
54,97
53,116
52,228
53,78
53,241
63,34
63,23
64,97
67,235
69,225
70,59
72,97
73,78
72,116
82,108
82,165
110,36
83,97
84,167
103,140
90,165
106,230
90,34
90,23
92,97
92,78
92,116
91,156
94,139
96,164
94,13
96,216
96,207
102,97
103,156
108,253
109,34
110,23
113,139
112,253
115,157
115,216
115,13
117,166
122,164
126,13
129,34
129,23
129,232
130,59
131,226
132,14
132,232
136,59
139,109
166,36
155,108
152,178
153,106
156,34
156,23
159,109
157,192
171,229
159,106
161,178
165,254
172,160
172,139
172,178
175,34
176,82
176,23
179,168
180,13
182,161
182,167
185,82
205,36
191,13
191,233
193,176
193,179
195,34
194,130
194,139
194,149
194,227
195,23
198,14
209,141
211,176
211,179
214,35
214,22
214,29
217,178
218,13
222,59
223,130
223,140
223,149
223,177
228,12
237,231
231,228
261,36
236,234
240,11
240,14
241,34
242,23
248,148
246,14
247,74
247,93
248,128
248,167
257,113
256,152
258,146
259,152
261,35
261,23
263,157
264,177
267,119
265,14
267,100
267,140
267,229
268,244
274,168
277,230
277,246
279,187
280,35
280,23
280,28
283,134
290,230
290,245
283,114
283,153
284,97
288,60
288,14
298,187
293,137
295,163
304,98
298,70
298,107
298,127
318,36
308,35
332,133
307,229
307,245
308,23
308,197
309,90
317,71
311,84
312,14
314,163
316,231
316,241
318,117
318,187
319,212
319,147
323,97
325,80
325,227
327,35
327,234
327,23
326,85
327,254
328,118
329,147
328,230
338,213
333,189
341,231
333,14
335,60
335,92
337,71
338,118
338,147
338,230
340,254
372,37
349,71
348,118
348,147
349,230
350,255
353,35
353,23
355,93
358,213
360,229
369,72
368,135
371,160
372,35
371,143
372,23
376,218
375,77
376,107
376,199
376,14
377,80
376,238
378,186
394,108
388,219
388,71
388,199
389,238
390,143
390,160
389,188
391,35
392,24
395,98
395,117
398,14
399,60
411,164
411,227
408,99
408,118
411,154
411,174
411,188
411,205
412,217
412,237
418,112
